data_source_id,clinic_id_source,clinic_id_reference
1,100|~|2,242
1,1000050|~|2,47
1,1000089|~|2,4
1,1000122|~|2,242
1,1000155|~|2,52
1,1000168|~|2,242
1,1000194|~|2,242
1,1000195|~|2,242
1,1000203|~|2,242
1,1000209|~|2,38
1,1000235|~|2,242
1,1000242|~|2,1
1,1000252|~|2,24
1,1000285|~|2,23
1,1000301|~|2,20
1,1000313|~|2,13
1,1000329|~|2,34
1,1000362|~|2,12
1,1000384|~|2,56
1,1000443|~|2,35
1,1000444|~|2,50
1,1000487|~|2,11
1,1000521|~|2,26
1,1000561|~|2,242
1,1000615|~|2,46
1,1000616|~|2,33
1,1000669|~|2,45
1,1000695|~|2,242
1,1000714|~|2,242
1,1000715|~|2,242
1,1000764|~|2,242
1,1000765|~|2,242
1,1000799|~|2,40
1,1000811|~|2,30
1,1000814|~|2,242
1,1000840|~|2,57
1,1000975|~|2,242
1,1000994|~|2,28
1,1001127|~|2,21
1,1001132|~|2,67
1,1001334|~|2,59
1,1001379|~|2,59
1,1001402|~|2,17
1,1001403|~|2,36
1,1001412|~|2,36
1,1001413|~|2,17
1,1001475|~|2,51
1,1001476|~|2,29
1,1001589|~|2,31
1,1001590|~|2,58
1,1001591|~|2,8
1,1001592|~|2,25
1,1001815|~|2,51
1,1001830|~|2,29
1,1001842|~|2,31
1,1001854|~|2,58
1,1001863|~|2,8
1,1001888|~|2,53
1,1001889|~|2,25
1,1001890|~|2,22
1,1001891|~|2,22
1,1002126|~|2,53
1,1002234|~|2,49
1,1002295|~|2,49
1,1002318|~|2,55
1,1002319|~|2,41
1,1002320|~|2,55
1,1002344|~|2,54
1,1002360|~|2,19
1,1002483|~|2,41
1,1002499|~|2,19
1,1002532|~|2,3
1,1002540|~|2,3
1,1002678|~|2,63
1,1002694|~|2,63
1,1002726|~|2,242
1,1002748|~|2,62
1,1002749|~|2,62
1,1002750|~|2,14
1,1002751|~|2,6
1,1002788|~|2,16
1,1002819|~|2,27
1,1002820|~|2,27
1,1002845|~|2,68
1,1002848|~|2,18
1,1002863|~|2,42
1,1002898|~|2,42
1,1002934|~|2,68
1,1002936|~|2,18
1,1003003|~|2,66
1,1003004|~|2,66
1,1003029|~|2,2
1,1003030|~|2,2
1,1003052|~|2,16
1,1003089|~|2,9
1,1003090|~|2,9
1,1003114|~|2,71
1,1003115|~|2,71
1,1003148|~|2,39
1,1003149|~|2,39
1,1003212|~|2,60
1,1003213|~|2,60
1,1003214|~|2,32
1,1003215|~|2,32
1,1003340|~|2,64
1,1003341|~|2,64
1,1003450|~|2,68
