data_source_id,procedure_code_id_source,procedure_code_category_id_reference
1,1004860|~|2,1
1,715|~|2,1
1,1002134|~|2,1
1,1002910|~|2,1
1,1003051|~|2,1
1,1002975|~|2,1
1,1003006|~|2,1
1,1002911|~|2,1
1,1002925|~|2,1
1,1002927|~|2,1
1,1003018|~|2,1
1,1002915|~|2,1
1,1003109|~|2,1
1,1003014|~|2,1
1,1002961|~|2,1
1,1002977|~|2,5
1,1002978|~|2,5
1,1003086|~|2,5
1,674|~|2,1
1,1002907|~|2,1
1,1003114|~|2,1
1,1027|~|2,1
1,676|~|2,1
1,1026|~|2,1
1,1002909|~|2,1
1,1003115|~|2,1
1,713|~|2,1
1,1002135|~|2,1
1,1003001|~|2,1
1,619|~|2,1
1,1002953|~|2,1
1,1072|~|2,1
1,1003019|~|2,5
1,1002957|~|2,1
1,1003180|~|2,1
1,1004940|~|2,1
1,1004856|~|2,1
1,1004942|~|2,1
1,1004859|~|2,1
1,1004944|~|2,1
1,1002949|~|2,1
1,1004864|~|2,1
1,1004946|~|2,1
1,1004948|~|2,1
1,1004950|~|2,1
1,1004867|~|2,1
1,1004952|~|2,1
1,1004869|~|2,1
1,1004953|~|2,1
1,1004955|~|2,1
1,1004872|~|2,1
1,1004956|~|2,1
1,1004957|~|2,1
1,1004875|~|2,1
1,1004958|~|2,1
1,1004878|~|2,1
1,1004959|~|2,1
1,1004960|~|2,1
1,1003020|~|2,1
1,1003112|~|2,1
1,1004881|~|2,1
1,1004884|~|2,1
1,1004887|~|2,1
1,1004890|~|2,1
1,1004893|~|2,1
1,1004896|~|2,1
1,1004898|~|2,1
1,1004900|~|2,1
1,1003040|~|2,1
1,1004902|~|2,1
1,1004904|~|2,1
1,1004905|~|2,1
1,1004907|~|2,1
1,1004909|~|2,1
1,1004912|~|2,1
1,1004913|~|2,1
1,1003041|~|2,1
1,1004914|~|2,1
1,1004916|~|2,1
1,1004917|~|2,1
1,1004918|~|2,1
1,1004919|~|2,1
1,1004921|~|2,1
1,1004923|~|2,1
1,1004924|~|2,1
1,1004925|~|2,1
1,1004926|~|2,1
1,1003023|~|2,1
1,1003116|~|2,1
1,1004927|~|2,1
1,1004928|~|2,1
1,1004929|~|2,1
1,1004930|~|2,1
1,1004931|~|2,1
1,1004932|~|2,1
1,1004933|~|2,1
1,1004934|~|2,1
1,1004935|~|2,1
1,1004936|~|2,1
1,1003055|~|2,1
1,1004937|~|2,1
1,1004938|~|2,1
1,1004939|~|2,1
1,1004941|~|2,1
1,1004943|~|2,1
1,1004945|~|2,1
1,1004947|~|2,1
1,1004949|~|2,1
1,1004951|~|2,1
1,1003029|~|2,1
1,1002974|~|2,1
1,1003024|~|2,1
1,1004954|~|2,1
1,1003064|~|2,1
1,1003127|~|2,1
1,1002943|~|2,1
1,1002935|~|2,1
1,1002912|~|2,1
1,1002136|~|2,1
1,1002403|~|2,1
1,1002559|~|2,1
1,612|~|2,1
1,1002560|~|2,1
1,1002404|~|2,1
1,1002405|~|2,1
1,1002406|~|2,1
1,1002407|~|2,1
1,1082|~|2,1
1,1002561|~|2,1
1,1006146|~|2,1
1,1002137|~|2,1
1,1071|~|2,1
1,2|~|2,1
1,1000312|~|2,1
1,1003874|~|2,1
1,1004078|~|2,1
1,1000927|~|2,1
1,1002138|~|2,1
1,1002815|~|2,1
1,1002952|~|2,1
1,1003070|~|2,1
1,1081|~|2,1
1,1002611|~|2,1
1,1002816|~|2,1
1,1003092|~|2,1
1,397|~|2,1
1,1000315|~|2,1
1,1003875|~|2,1
1,1004079|~|2,1
1,1000625|~|2,1
1,1000928|~|2,1
1,1003042|~|2,1
1,175|~|2,1
1,1003849|~|2,1
1,1003876|~|2,1
1,1000929|~|2,1
1,1003093|~|2,1
1,3|~|2,1
1,1000296|~|2,1
1,1003877|~|2,1
1,1004081|~|2,1
1,1000930|~|2,1
1,1004965|~|2,1
1,1002139|~|2,1
1,469|~|2,1
1,1003850|~|2,1
1,1004082|~|2,1
1,1000931|~|2,1
1,1002140|~|2,1
1,1002141|~|2,1
1,1002142|~|2,1
1,1000001|~|2,1
1,1004373|~|2,1
1,1003928|~|2,1
1,1004083|~|2,1
1,1000932|~|2,1
1,679|~|2,1
1,1004420|~|2,1
1,1004470|~|2,1
1,1000933|~|2,1
1,1002143|~|2,1
1,1002199|~|2,1
1,1000002|~|2,1
1,1003851|~|2,1
1,1003879|~|2,1
1,1000934|~|2,1
1,1002200|~|2,1
1,259|~|2,1
1,1002144|~|2,1
1,270|~|2,1
1,1002202|~|2,1
1,1002145|~|2,1
1,1002146|~|2,1
1,1004967|~|2,1
1,1000937|~|2,1
1,1004969|~|2,1
1,1004970|~|2,1
1,1004971|~|2,1
1,1004973|~|2,1
1,4|~|2,1
1,1000307|~|2,1
1,1003880|~|2,1
1,1000938|~|2,1
1,1002956|~|2,1
1,1004974|~|2,1
1,1003589|~|2,1
1,29|~|2,1
1,1000308|~|2,1
1,1003881|~|2,1
1,1004085|~|2,1
1,1002796|~|2,1
1,1000939|~|2,1
1,30|~|2,1
1,1000309|~|2,1
1,1003882|~|2,1
1,1004086|~|2,1
1,1000940|~|2,1
1,31|~|2,1
1,1003852|~|2,1
1,1004087|~|2,1
1,1000941|~|2,1
1,32|~|2,1
1,1003929|~|2,1
1,1000942|~|2,1
1,732|~|2,1
1,33|~|2,1
1,34|~|2,1
1,1001524|~|2,1
1,1003884|~|2,1
1,1004090|~|2,1
1,1000945|~|2,1
1,35|~|2,1
1,1001525|~|2,1
1,1003885|~|2,1
1,1000946|~|2,1
1,48|~|2,1
1,1003853|~|2,1
1,1003886|~|2,1
1,1000947|~|2,1
1,37|~|2,1
1,1000297|~|2,1
1,1003887|~|2,1
1,1000948|~|2,1
1,794|~|2,1
1,1000003|~|2,1
1,36|~|2,1
1,1003854|~|2,1
1,1002937|~|2,1
1,467|~|2,1
1,40|~|2,1
1,41|~|2,1
1,409|~|2,1
1,1004963|~|2,1
1,42|~|2,1
1,1000298|~|2,1
1,1003890|~|2,1
1,1003949|~|2,1
1,1000955|~|2,1
1,43|~|2,1
1,1000956|~|2,1
1,1006145|~|2,1
1,1000004|~|2,1
1,1003951|~|2,1
1,1000957|~|2,1
1,645|~|2,1
1,1003026|~|2,1
1,1003118|~|2,1
1,78|~|2,1
1,1000958|~|2,1
1,87|~|2,1
1,88|~|2,1
1,108|~|2,1
1,1004073|~|2,1
1,1004096|~|2,1
1,1004477|~|2,1
1,1000961|~|2,1
1,137|~|2,1
1,1004097|~|2,1
1,1004478|~|2,1
1,1000962|~|2,1
1,140|~|2,1
1,1004098|~|2,1
1,1004479|~|2,1
1,1000963|~|2,1
1,149|~|2,1
1,1004423|~|2,1
1,1004099|~|2,1
1,1000964|~|2,1
1,154|~|2,1
1,1000965|~|2,1
1,1133|~|2,1
1,527|~|2,1
1,1000969|~|2,1
1,526|~|2,1
1,1000970|~|2,1
1,528|~|2,1
1,1000971|~|2,1
1,529|~|2,1
1,1000972|~|2,1
1,530|~|2,1
1,532|~|2,1
1,1134|~|2,1
1,1135|~|2,1
1,1136|~|2,1
1,292|~|2,1
1,1004432|~|2,1
1,1000976|~|2,1
1,274|~|2,1
1,1000977|~|2,1
1,535|~|2,1
1,1000979|~|2,1
1,1003192|~|2,1
1,1002908|~|2,1
1,1003099|~|2,1
1,1003059|~|2,1
1,1003123|~|2,1
1,1003124|~|2,1
1,1003061|~|2,1
1,1003125|~|2,1
1,1000284|~|2,1
1,1000267|~|2,1
1,45|~|2,1
1,1000160|~|2,1
